id,chart,artist,title,cos,neurons_lit,heart_aPN1_hz,panic_GF_hz,jo_A_hz,jo_B_hz
global_00,global,Queen,Bohemian Rhapsody,0.7737882925721624,768,0.5294117647058824,26.7,127.34333333333333,86.49318181818181
global_01,global,Michael Jackson,Billie Jean,0.5331694323173588,729,0.46862745098039216,21.483333333333334,114.538,78.12575757575756
global_02,global,The Beatles,Hey Jude,0.5267787592265771,704,0.24117647058823527,11.333333333333334,171.83799999999997,75.41136363636362
global_03,global,The Beatles,Here Comes the Sun,0.5539254245385554,714,0.3470588235294118,16.283333333333335,172.62266666666667,94.24204545454545
global_04,global,Whitney Houston,I Will Always Love You,0.4235128519240397,608,0.041176470588235294,5.483333333333333,150.80666666666667,31.17348484848485
global_05,global,Mariah Carey,All I Want for Christmas Is You,0.5264940294358029,700,0.22941176470588237,12.15,166.822,68.25909090909092
global_06,global,Elvis Presley,Hound Dog,0.5169027117689347,705,0.13529411764705884,6.283333333333333,205.868,61.716666666666654
global_07,global,Chuck Berry,Johnny B. Goode,0.5342585956711603,730,0.3647058823529412,14.783333333333333,164.7073333333333,60.124242424242425
global_08,global,Bee Gees,Stayin' Alive,0.5240889646339589,730,0.24901960784313726,11.616666666666667,161.34533333333334,68.42765151515151
global_09,global,ABBA,Dancing Queen,0.4713502053033226,629,0.045098039215686274,1.0833333333333333,202.91266666666664,50.384469696969695
global_10,global,Eagles,Hotel California,0.5412057573281353,744,0.3588235294117647,15.116666666666667,161.856,75.87954545454546
global_11,global,Led Zeppelin,Stairway to Heaven,0.5484073803887052,722,0.25098039215686274,12.116666666666667,167.09,80.59886363636365
global_12,global,John Lennon,Imagine,0.5362242518063346,740,0.3254901960784314,13.516666666666667,156.76333333333335,79.94015151515151
global_13,global,Nirvana,Smells Like Teen Spirit,0.5515744901203687,689,0.3607843137254902,15.8,167.40666666666664,89.36931818181819
global_14,global,a-ha,Take On Me,0.516710087414982,684,0.15882352941176472,7.666666666666667,186.0826666666667,66.01515151515152
global_15,global,Toto,Africa,0.545958755961252,733,0.39215686274509803,19.883333333333333,138.71933333333334,81.96249999999999
global_16,global,Rick Astley,Never Gonna Give You Up,0.5173900486076388,725,0.26666666666666666,11.233333333333333,172.34466666666668,61.63863636363635
global_17,global,Beyoncé,Crazy in Love,0.5310676806542257,693,0.4215686274509804,21.05,128.37533333333332,72.59053030303029
global_18,global,Adele,Rolling in the Deep,0.5638166606628684,749,0.5549019607843136,22.583333333333332,145.01333333333335,95.82234848484849
global_19,global,Mark Ronson,Uptown Funk,0.5543614509296315,754,0.44313725490196076,16.016666666666666,131.56533333333334,65.36818181818181
global_20,global,Ed Sheeran,Shape of You,0.5267285014292377,723,0.25098039215686274,9.6,159.09266666666667,66.42121212121212
global_21,global,Luis Fonsi,Despacito,0.5368892731650784,730,0.35294117647058826,15.233333333333333,159.70533333333336,66.15378787878787
global_22,global,Billie Eilish,bad guy,0.5455880607196778,755,0.7215686274509804,29.533333333333335,83.56199999999998,83.3965909090909
global_23,global,The Weeknd,Blinding Lights,0.5431367006459527,723,0.38627450980392153,16.316666666666666,169.25533333333337,77.14848484848484
global_24,global,Taylor Swift,Shake It Off,0.5198853291824317,719,0.2705882352941177,11.05,169.30466666666666,54.685606060606055
