id,chart,artist,title,cos,neurons_lit,heart_aPN1_hz,panic_GF_hz,jo_A_hz,jo_B_hz
global_00,global,Queen,Bohemian Rhapsody,0.944889707467371,276,0.5411764705882353,27.016666666666666,127.82000000000002,87.04734848484848
global_01,global,Michael Jackson,Billie Jean,0.950076875791717,252,0.45294117647058824,24.366666666666667,114.72999999999998,78.28333333333335
global_02,global,The Beatles,Hey Jude,0.9100273389506693,236,0.2647058823529412,13.933333333333334,172.07733333333334,75.48901515151515
global_03,global,The Beatles,Here Comes the Sun,0.9294268127359684,239,0.3980392156862745,20.15,172.1473333333333,94.4094696969697
global_04,global,Whitney Houston,I Will Always Love You,0.7991127022431513,151,0.0392156862745098,5.45,150.71,31.486363636363638
global_05,global,Mariah Carey,All I Want for Christmas Is You,0.9059586079667655,222,0.22941176470588234,14.683333333333334,167.26533333333333,68.5439393939394
global_06,global,Elvis Presley,Hound Dog,0.8786130428411781,240,0.1784313725490196,8.466666666666667,205.59533333333337,62.11439393939395
global_07,global,Chuck Berry,Johnny B. Goode,0.9306676490197211,249,0.388235294117647,15.683333333333334,164.37133333333333,60.16515151515151
global_08,global,Bee Gees,Stayin' Alive,0.9258719996850969,251,0.3215686274509804,14.616666666666667,161.29333333333335,68.7715909090909
global_09,global,ABBA,Dancing Queen,0.8318297878297456,189,0.049019607843137254,2.066666666666667,203.11733333333336,50.45378787878787
global_10,global,Eagles,Hotel California,0.9319328628573085,252,0.40588235294117647,18.166666666666668,162.356,75.92386363636363
global_11,global,Led Zeppelin,Stairway to Heaven,0.9197523890746123,239,0.26666666666666666,15.733333333333333,167.08333333333331,81.00681818181819
global_12,global,John Lennon,Imagine,0.9264418553986732,256,0.3313725490196079,17.333333333333332,157.1046666666667,80.12348484848485
global_13,global,Nirvana,Smells Like Teen Spirit,0.9224986222873062,224,0.33333333333333337,18.383333333333333,167.39199999999997,89.68106060606061
global_14,global,a-ha,Take On Me,0.8888984995977061,219,0.20392156862745095,9.616666666666667,186.20399999999998,66.16780303030303
global_15,global,Toto,Africa,0.9431161957518855,241,0.4235294117647059,22.683333333333334,138.51333333333335,82.34431818181817
global_16,global,Rick Astley,Never Gonna Give You Up,0.9057924841498589,252,0.28627450980392155,12.8,172.424,61.69583333333333
global_17,global,Beyoncé,Crazy in Love,0.9463731238122116,227,0.4411764705882353,22.133333333333333,128.10399999999998,72.75795454545454
global_18,global,Adele,Rolling in the Deep,0.9467034754467238,270,0.5647058823529412,26.133333333333333,145.72466666666668,96.06590909090909
global_19,global,Mark Ronson,Uptown Funk,0.9311231720899117,266,0.43921568627450974,18.866666666666667,131.62933333333334,65.625
global_20,global,Ed Sheeran,Shape of You,0.9124213414923364,244,0.25882352941176473,12.2,159.2433333333333,66.65530303030303
global_21,global,Luis Fonsi,Despacito,0.9287473156935943,247,0.38431372549019605,16.516666666666666,159.982,66.25719696969696
global_22,global,Billie Eilish,bad guy,0.9767355506140852,266,0.7392156862745098,31.816666666666666,83.476,83.87310606060606
global_23,global,The Weeknd,Blinding Lights,0.9322155403628524,247,0.42745098039215684,18.666666666666668,168.81,77.3094696969697
global_24,global,Taylor Swift,Shake It Off,0.9071463206504834,238,0.2627450980392157,12.083333333333334,169.21866666666668,54.64962121212122
global_25,global,Daft Punk,Get Lucky,0.9483859684533158,235,0.5,24.033333333333335,140.07933333333335,77.13636363636364
global_26,global,Harry Styles,As It Was,0.9164333406571906,237,0.296078431372549,15.8,174.22333333333333,73.49621212121212
global_27,global,Frank Sinatra,Fly Me to the Moon,0.9211677761853876,223,0.25882352941176473,17.05,141.90200000000002,73.14393939393939
global_28,global,Nikolai Rimsky-Korsakov,Flight of the Bumblebee,0.9145375628487806,245,0.28235294117647064,12.683333333333334,172.53533333333337,72.75265151515151
global_29,global,Vienna Philharmonic,Symphony No. 5 in C Minor,0.8835670030351651,216,0.09803921568627451,5.25,156.46,40.981818181818184
