id,chart,artist,title,cos,neurons_lit,heart_aPN1_hz,panic_GF_hz,jo_A_hz,jo_B_hz
global_00,global,Queen,Bohemian Rhapsody,0.9471494111121409,851,0.5627450980392157,24.283333333333335,127.47933333333336,86.70643939393939
global_01,global,Michael Jackson,Billie Jean,0.9649988689306772,741,0.48039215686274506,22.333333333333332,114.602,77.86931818181819
global_02,global,The Beatles,Hey Jude,0.9399120925402958,693,0.23137254901960783,11.05,172.004,75.36931818181819
global_03,global,The Beatles,Here Comes the Sun,0.9526443566152998,713,0.3666666666666667,16.283333333333335,172.17199999999997,94.37234848484849
global_04,global,Whitney Houston,I Will Always Love You,0.8991469316607472,612,0.056862745098039215,5.866666666666666,151.11933333333334,31.123863636363634
global_05,global,Mariah Carey,All I Want for Christmas Is You,0.9412601680641937,699,0.2372549019607843,11.983333333333333,167.12666666666667,68.11666666666666
global_06,global,Elvis Presley,Hound Dog,0.9291587418355244,702,0.15098039215686274,6.333333333333333,205.20133333333334,61.69734848484848
global_07,global,Chuck Berry,Johnny B. Goode,0.94493947493868,733,0.3764705882352941,14.25,164.67600000000002,59.83863636363637
global_08,global,Bee Gees,Stayin' Alive,0.9428526236789189,728,0.2980392156862745,11.833333333333334,161.458,68.57159090909092
global_09,global,ABBA,Dancing Queen,0.9096305374733324,633,0.023529411764705882,0.9833333333333333,203.4333333333333,50.103409090909096
global_10,global,Eagles,Hotel California,0.947895489560184,742,0.3666666666666667,15.966666666666667,162.33066666666667,75.88598484848485
global_11,global,Led Zeppelin,Stairway to Heaven,0.944623659582725,724,0.2607843137254902,12.316666666666666,167.14933333333332,80.6465909090909
global_12,global,John Lennon,Imagine,0.9434512441290261,733,0.31960784313725493,13.6,157.46,79.96401515151516
global_13,global,Nirvana,Smells Like Teen Spirit,0.9502491409682483,686,0.3490196078431373,15.683333333333334,167.23666666666668,89.36969696969697
global_14,global,a-ha,Take On Me,0.9330885477238975,681,0.15686274509803924,7.683333333333334,185.93666666666667,65.83219696969697
global_15,global,Toto,Africa,0.9538207314141008,723,0.4392156862745098,20.283333333333335,138.6906666666667,82.2439393939394
global_16,global,Rick Astley,Never Gonna Give You Up,0.9354142212149785,731,0.2647058823529412,10.783333333333333,172.41600000000003,61.74242424242425
global_17,global,Beyoncé,Crazy in Love,0.9545253303848374,697,0.41568627450980394,21.05,128.26866666666666,72.38712121212122
global_18,global,Adele,Rolling in the Deep,0.9569660703582695,751,0.5294117647058824,22.366666666666667,145.37199999999996,95.8780303030303
global_19,global,Mark Ronson,Uptown Funk,0.9460709463615612,747,0.4568627450980392,15.783333333333333,131.816,65.24090909090908
global_20,global,Ed Sheeran,Shape of You,0.940768639480743,724,0.23137254901960785,9.916666666666666,159.12333333333333,66.16742424242425
global_21,global,Luis Fonsi,Despacito,0.954901827374432,732,0.36666666666666664,15.35,160.2033333333333,65.90151515151516
global_22,global,Billie Eilish,bad guy,0.9680974354050826,762,0.6941176470588235,29.566666666666666,83.376,83.28863636363636
